SETOR;CODIGO;ITEM;CATEGORIA
FINALIZAÇÃO;FIN001;NOTEBOOK TOSHIBA - AMD A6;COMPUTADOR
FINALIZAÇÃO;FIN002;TECLADO DELL;PERIFÉRICO
FINALIZAÇÃO;FIN003;MOUSE MULTILASER;PERIFÉRICO
FINALIZAÇÃO;FIN004;LEITOR DE COD.BARRA;PERIFÉRICO
FINALIZAÇÃO;FIN005;CARREGADOR NOTEBOOK TOSHIBA;FONTE E ENERGIA
FINALIZAÇÃO;FIN006;ROTEADOR TP-LINK;REDE/IMPRESSORA
FINALIZAÇÃO;FIN007;DESKTOP DELL;COMPUTADOR
FINALIZAÇÃO;FIN008;MONITOR AOC;MONITOR
FINALIZAÇÃO;FIN009;TECLADO DELL;PERIFÉRICO
FINALIZAÇÃO;FIN010;MOUSE CETECH;PERIFÉRICO
FINALIZAÇÃO;FIN011;LEITOR DE COD.BARRA;PERIFÉRICO
FINALIZAÇÃO;FIN012;ESTABILIZADOR;FONTE E ENERGIA
FINALIZAÇÃO;FIN013;ADAPTADOR USB - RJ45;REDE/IMPRESSORA
LOGISTICA;LOG001;DESKTOP;COMPUTADOR
LOGISTICA;LOG002;MONITOR ACER 23;MONITOR
LOGISTICA;LOG003;ESTABILIZADOR;FONTE E ENERGIA
LOGISTICA;LOG004;LEITOR DE COD.BARRA;PERIFÉRICO
LOGISTICA;LOG005;TECLADO S+;PERIFÉRICO
LOGISTICA;LOG006;MOUSE S+;PERIFÉRICO
LOGISTICA;LOG007;IMAC;COMPUTADOR
LOGISTICA;LOG008;ESTABILIZADOR;FONTE E ENERGIA
LOGISTICA;LOG009;MOUSE MAO;PERIFÉRICO
LOGISTICA;LOG010;TECLADO DELL;PERIFÉRICO
LOGISTICA;LOG011;LEITOR DE COD.BARRA;PERIFÉRICO
LOGISTICA;LOG012;DESKTOP;COMPUTADOR
LOGISTICA;LOG013;ESTABILIZADOR;FONTE E ENERGIA
LOGISTICA;LOG014;MONITOR AOC 18;MONITOR
LOGISTICA;LOG015;IMPRESSORA ZEBRA;REDE/IMPRESSORA
LOGISTICA;LOG016;TECLADO DELL;PERIFÉRICO
LOGISTICA;LOG017;MOUSE MICROSOFT;PERIFÉRICO
LOGISTICA;LOG018;LEITOR DE COD.BARRA;PERIFÉRICO
LOGISTICA;LOG019;DESKTOP;COMPUTADOR
LOGISTICA;LOG020;MONITOR ACER 18;MONITOR
LOGISTICA;LOG021;IMPRESSORA ZEBRA;REDE/IMPRESSORA
LOGISTICA;LOG022;TECLADO MULTILASER;PERIFÉRICO
LOGISTICA;LOG023;LEITOR DE COD.BARRA;PERIFÉRICO
LOGISTICA;LOG024;MOUSE;PERIFÉRICO
LOGISTICA;LOG025;SWITCH TP-LINK /100;REDE/IMPRESSORA
LOGISTICA;LOG026;FONTE POE;FONTE E ENERGIA
LOGISTICA;LOG027;ESTABILIZADOR;FONTE E ENERGIA
LOGISTICA;LOG028;IMPRESSORA EPSON-T20X;REDE/IMPRESSORA
LOGISTICA;LOG029;DESKTOP;COMPUTADOR
LOGISTICA;LOG030;MONITOR HP 18;MONITOR
LOGISTICA;LOG031;IMPRESSORA ZEBRA;REDE/IMPRESSORA
LOGISTICA;LOG032;LEITOR DE COD.BARRA;PERIFÉRICO
LOGISTICA;LOG033;TECLADO;PERIFÉRICO
LOGISTICA;LOG034;ESTABILIZADOR;FONTE E ENERGIA
LOGISTICA;LOG035;MOUSE;PERIFÉRICO
LOGISTICA;LOG036;DESKTOP;COMPUTADOR
LOGISTICA;LOG037;MONITOR LG 21;MONITOR
LOGISTICA;LOG038;ESTABILIZADOR;FONTE E ENERGIA
LOGISTICA;LOG039;IMPRESSORA ZEBRA;REDE/IMPRESSORA
LOGISTICA;LOG040;TECLADO CTECH;PERIFÉRICO
LOGISTICA;LOG041;MOUSE LOGITECH;PERIFÉRICO
LOGISTICA;LOG042;IMPRESSORA ELGIN;REDE/IMPRESSORA
LOGISTICA;LOG043;HUB USB;PERIFÉRICO
LOGISTICA;LOG044;LEITOR DE COD.BARRA;PERIFÉRICO
LOGISTICA;LOG045;POE ACESS POINT;REDE/IMPRESSORA
LOGISTICA;LOG046;MONITOR BENQ;MONITOR
LOGISTICA;LOG047;TECLADO;PERIFÉRICO
LOGISTICA;LOG048;MOUSE;PERIFÉRICO
LOGISTICA;LOG049;IMPRESSORA ZEBRA;REDE/IMPRESSORA
LOGISTICA;LOG050;IMPRESSORA MP;REDE/IMPRESSORA
LOGISTICA;LOG051;DESKTOP;COMPUTADOR
LOGISTICA;LOG052;LEITOR DE COD.BARRA;PERIFÉRICO
LOGISTICA;LOG053;NOTEBOOK LENOVO;COMPUTADOR
LOGISTICA;LOG054;TECLADO;PERIFÉRICO
LOGISTICA;LOG055;MOUSE;PERIFÉRICO
LOGISTICA;LOG056;ADAPTADOR USB - RJ45;REDE/IMPRESSORA
LOGISTICA;LOG057;HUB USB;PERIFÉRICO
LOGISTICA;LOG058;ESTABILIZADOR;FONTE E ENERGIA
